metric,value
unit_tests_passed,5
unit_tests_total,5
history_csv_files,6
history_json_files,6
history_rows,157835
history_unique_students,9
history_metric_keys,11
face_local_folders,16
face_training_photos,24
face_embeddings,8
face_embedding_dim,512
hand_raise_images,7
hand_raise_positive_assets,2
hand_raise_negative_assets,5
kmeans_students,200
kmeans_features,8
kmeans_silhouette,0.3594
kmeans_calinski_harabasz,137.48
kmeans_davies_bouldin,1.0898
identity_best_tpr_min,0.975
identity_precision_min,1.0
identity_far_max,0.0
people_stable_ratio_min,0.9869
